56 1 0,557267165184021
56 2 0,28283491134643557
56 3 0,1843038558959961
56 4 0,14474453926086425
56 5 0,11555438041687012
56 6 0,09975326061248779
56 7 0,0953019142150879
56 8 0,08550841808319092
112 1 2,206515312194824
112 2 1,1458909511566162
112 3 0,8063408851623535
112 4 0,600359034538269
112 5 0,511357593536377
112 6 0,44288249015808107
112 7 0,4306164741516113
112 8 0,38342487812042236
168 1 4,916357183456421
168 2 2,494222331047058
168 3 1,8806060075759887
168 4 1,463448166847229
168 5 1,1250527143478393
168 6 1,0300084352493286
168 7 0,9108458518981933
168 8 0,8533020257949829
224 1 9,075880455970765
224 2 4,452073502540588
224 3 2,9559088706970216
224 4 2,4140066385269163
224 5 2,0646468877792357
224 6 1,836498761177063
224 7 1,7530155658721924
224 8 1,7063502073287964
280 1 13,98541874885559
280 2 7,028796195983887
280 3 4,970124959945679
280 4 4,081350994110108
280 5 3,56006543636322
280 6 3,298559474945068
280 7 3,0958784580230714
280 8 2,9135574102401733
