56      1       0,03411221504211426
56      2       0,020947933197021484
56      3       0,013150930404663086
56      4       0,013676166534423828
56      5       0,011080265045166016
56      6       0,01049184799194336
56      7       0,009400129318237305
56      8       0,009265899658203125
104     1       0,1144111156463623
104     2       0,06302905082702637
104     3       0,04297208786010742
104     4       0,0477602481842041
104     5       0,037599802017211914
104     6       0,03203988075256348
104     7       0,027827024459838867
104     8       0,030535221099853516
152     1       0,2451021671295166
152     2       0,125762939453125
152     3       0,0892179012298584
152     4       0,08798074722290039
152     5       0,08201098442077637
152     6       0,06846308708190918
152     7       0,0659637451171875
152     8       0,0633389949798584
200     1       0,40954113006591797
200     2       0,2219090461730957
200     3       0,15260958671569824
200     4       0,14609408378601074
200     5       0,13146710395812988
200     6       0,11990618705749512
200     7       0,10980081558227539
200     8       0,10907387733459473

